layer,iteration,mean_ir_pwr,min_ir_pwr,max_ir_pwr,std_ir_pwr,eiq_ir_pwr,median_ir_pwr,mad_ir_pwr,q_10,q_90,q_5,q_95,q_1,q_99,out_sup,out_sup_rate,out_inf,out_inf_rate
65,1,15.791289,0.06524578,30.12258,3.2122715,4.532251358032227,16.003857,2.607443,11.34344482421875,19.736848831176758,10.371747970581055,20.759809494018555,8.961507415771484,23.141279220581055,24.834174156188965,0.41542472809736664,6.705168724060059,0.08757280358075463
66,1,15.916686,0.08155722,27.843636,2.7812457,3.1364574432373047,16.239208,2.1298087,11.632390022277832,19.11701202392578,10.376408576965332,19.944236755371094,8.76390552520752,21.48450469970703,22.437556266784668,0.36957674426917736,9.89172649383545,3.4610335836234407
67,1,15.696837,0.0768968,28.857277,3.185842,4.4530229568481445,15.898998,2.5826406,11.247905731201172,19.61800765991211,10.292521476745605,20.673593521118164,8.920029640197754,23.036420822143555,24.596490383148193,0.3401617207854102,6.784398555755615,0.09213954375039715
68,1,15.940743,0.053594746,25.774414,2.7844172,3.1877222061157227,16.28115,2.142083,11.613748550415039,19.13565444946289,10.348445892333984,19.930255889892578,8.74060344696045,21.405275344848633,22.58202886581421,0.2059284354006271,9.831140041351318,3.3210676505690335
69,1,15.702539,0.04194371,29.45614,3.2000306,4.513607978820801,15.878025,2.597128,11.308491706848145,19.622669219970703,10.311162948608398,20.673593521118164,8.875755310058594,23.088803405761674,24.724650859832764,0.4233913808476963,6.6702189445495605,0.08896779484979735
70,1,15.91001,0.020971855,25.089333,2.7678292,3.113156318664551,16.236877,2.119307,11.625398635864258,19.091381072998047,10.367088317871094,19.906953811645508,8.712640762329102,21.46819305419922,22.39561414718628,0.3056312407158801,9.942988872528076,3.6578439394059754
71,1,15.764417,0.06291557,29.891888,3.196797,4.443703651428223,15.959582,2.5834346,11.338784217834473,19.662281036376953,10.346116065979004,20.68524169921875,8.93401050567627,23.239147186279297,24.64775800704956,0.5166993989050421,6.87294340133667,0.09750169287562478
72,1,15.960329,0.034953095,26.033064,2.7791948,3.1178131103515625,16.302124,2.127209,11.632390022277832,19.140316009521484,10.376408576965332,19.9395751953125,8.756915092468262,21.52411651611328,22.456192016601562,0.36462212160028595,9.984939575195312,3.740951473085287
73,1,15.727186,0.06524578,28.56134,3.1849968,4.467004776000977,15.922299,2.5829349,11.34344482421875,19.678592681884766,10.3624267578125,20.694564819335938,8.931680679321289,22.908260345458984,24.64076519012451,0.4063103209970688,6.7727460861206055,0.0925418424167322
74,1,15.919267,0.053594746,25.925875,2.7504919,3.122478485107422,16.276491,2.1149423,11.644041061401367,19.07040786743164,10.38106918334961,19.84869956970215,8.768566131591797,21.286436080932617,22.430570602416992,0.1868557596649702,9.940656661987305,3.556216577938312
75,1,15.498501,0.104859285,28.684841,3.180778,4.506617546081543,15.710252,2.5896578,11.101102828979492,19.42926025390625,10.122415542602539,20.447561264038086,8.717302322387695,22.65077304840088,24.49046564102173,0.3528937485974608,6.463995456695557,0.07506687505337097
76,1,15.9012,0.0768968,26.284729,2.8017628,3.117816925048828,16.234547,2.1426508,11.534521102905273,19.14264488220215,10.257568359375,19.962879180908203,8.649725914001465,21.423917770385742,22.409595489501953,0.2621330881462226,9.93832778930664,3.9556280172610667
77,1,15.690344,0.1141801,29.828972,3.233331,4.5182695388793945,15.833752,2.6230946,11.247905731201172,19.771800994873047,10.273880004882812,20.841365814208984,8.875755310058594,23.113319396972656,24.701350688934326,0.3499107350309895,6.628272533416748,0.08996002438651433
78,1,15.940286,0.08854784,25.441193,2.7444098,3.0315990447998047,16.278822,2.0953054,11.658021926879883,19.091381072998047,10.395050048828125,19.895301818847656,8.78720760345459,21.328380584716797,22.282599449157715,0.2603354773114951,10.156203269958496,4.195154304868532
79,1,15.746059,0.06524578,28.59629,3.2298212,4.564874649047852,15.905989,2.6299684,11.273538589477539,19.764812469482422,10.297182083129883,20.783111572265625,8.947992324829102,23.127300262451172,24.869128227233887,0.3449439987290492,6.6096296310424805,0.0845976646278497
80,1,15.940092,0.06524578,27.615276,2.7512984,3.0665502548217773,16.27416,2.1055331,11.665013313293457,19.124004364013672,10.399710655212402,19.920934677124023,8.81283950805664,21.34935188293457,22.337355136871338,0.27167221396967123,10.071154117584229,3.8991317610237752
81,1,15.802166,0.097868666,28.489101,3.22367,4.4856462478637695,16.013178,2.6120825,11.29917049407959,19.790443420410156,10.315823554992676,20.84369659423828,8.93634033203125,23.11564826965332,24.761935710906982,0.40212560616711746,6.819350719451904,0.09273711510125622
82,1,15.985385,0.09087805,26.405897,2.7888367,3.1387882232666016,16.332417,2.1387765,11.590445518493652,19.19390869140625,10.355436325073242,19.988510131835938,8.758872947692872,21.354013442993164,22.54824161529541,0.18864739815522702,9.993088722229004,3.7884369073741273
83,1,15.723022,0.0745666,28.2188,3.2543194,4.595166206359863,15.91531,2.6507657,11.208292007446289,19.755489349365234,10.217954635620117,20.813404083251953,8.83381175994873,23.129629135131836,24.90990400314331,0.32450703330268327,6.529239177703857,0.07904149281179187
84,1,16.070478,0.06524578,26.953497,2.8352187,3.1434478759765625,16.446596,2.1686997,11.574134826660156,19.294109344482422,10.313493728637695,20.125993728637695,8.747594833374023,21.594024658203125,22.646108627319336,0.2569652679865759,10.072317123413086,4.187302659014636
85,1,15.788514,0.08854784,30.94048,3.286448,4.667403221130371,16.015507,2.6795197,11.201301574707031,19.80675506591797,10.217954635620117,20.841365814208984,8.83381175994873,23.241477966308594,25.120789051055908,0.32289260941313375,6.451176166534424,0.07685082401161301
86,1,15.982352,0.0745666,27.45216,2.8014696,3.1481075286865234,16.341736,2.149479,11.557823181152344,19.19390869140625,10.313493728637695,19.960548400878906,8.731282234191895,21.409936904907227,22.566880226135254,0.20274791940124826,9.97445011138916,3.8673023803519198
87,1,15.845891,0.10019887,28.973785,3.2960517,4.625460624694824,16.04347,2.684616,11.264217376708984,19.99317169189453,10.241256713867188,21.01380157470703,8.819830894470215,23.225168228149414,25.095160007476807,0.21845161495321164,6.59331750869751,0.08261442892776004
88,1,16.070494,0.079227015,25.74412,2.835322,3.1387882232666016,16.444267,2.1684506,11.569475173950195,19.30575942993164,10.322813987731934,20.11667251586914,8.703320503234863,21.57305145263672,22.64144992828369,0.22618054728146472,10.086297035217285,4.229516660709321
89,1,15.775488,0.06990619,29.034372,3.272129,4.592836380004883,15.985216,2.660127,11.245575904846191,19.799762725830078,10.217954635620117,20.86932945251465,8.81050968170166,23.276432037353516,24.95301342010498,0.4124648997732138,6.581667900085449,0.08797397717839851
90,1,15.992651,0.079227015,26.112293,2.7939408,3.1131553649902344,16.360378,2.137103,11.592775344848633,19.170608520507812,10.329804420471191,19.962879180908203,8.74060344696045,21.470521926879883,22.500471115112305,0.29213054720360965,10.047849655151367,4.065400701431062
91,1,15.79599,0.09553845,31.355257,3.2787602,4.520601272583008,15.989876,2.64863,11.23392391204834,19.85801887512207,10.213294982910156,20.95554542541504,8.8058500289917,23.311386108398438,24.82602024078369,0.4186385508909971,6.74361515045166,0.09175095375315022
92,1,16.052555,0.04427392,25.466825,2.8261514,3.1574296951293945,16.423294,2.1653671,11.567144393920898,19.284786224365234,10.297182083129883,20.079387664794922,8.74060344696045,21.493824005126953,22.660090923309326,0.17891858509355993,10.030372142791748,4.102219901068547
93,1,15.846122,0.08388742,29.313995,3.3023977,4.646430015563965,16.05046,2.685428,11.2781982421875,19.925594329833984,10.248247146606445,21.00914192199707,8.822161674499512,23.430225372314453,25.124281406402588,0.31972991758514546,6.5385613441467285,0.08658524476218846
94,1,16.04733,0.039613508,25.564693,2.8261774,3.0991744995117188,16.40232,2.155856,11.574134826660156,19.282459259033203,10.306502342224121,20.132984161376953,8.754585266113281,21.640628814697266,22.530765533447266,0.2927100502412773,10.13406753540039,4.376551422840916
95,1,15.843809,0.0722364,30.308994,3.3176956,4.68138313293457,16.04114,2.6959174,11.259556770324707,19.94656753540039,10.25989818572998,21.027782440185547,8.819830894470215,23.49547004699707,25.18603229522705,0.34198761933322347,6.4604997634887695,0.07745364200926663
96,1,16.133429,0.055924952,25.54372,2.8475304,3.1970443725585938,16.48621,2.1827588,11.646370887756348,19.42460060119629,10.38106918334961,20.214540481567383,8.754585266113281,21.592391777038547,22.8173828125,0.19739023891367852,10.029205322265625,3.8794926633980116
97,1,15.914959,0.08155722,30.72377,3.2912703,4.609148979187012,16.15066,2.674913,11.310821533203125,19.974529266357422,10.315823554992676,21.016130447387695,8.899057388305664,23.320707321166992,25.128946781158447,0.36301100550871185,6.6923508644104,0.09254000468657535
98,1,16.100485,0.05825516,25.907232,2.8294466,3.152769088745117,16.467567,2.1644228,11.627730369567871,19.338382720947266,10.343786239624023,20.12832260131836,8.734848775863647,21.575382232666016,22.69970417022705,0.20256020208358985,10.088627815246582,4.170555690154383
99,1,15.96084,0.053594746,30.893875,3.3198297,4.660411834716797,16.199594,2.6980464,11.308491706848145,20.02812385559082,10.297182083129883,21.05574607849121,8.87808609008789,23.54906463623047,25.287397384643555,0.3175391214552387,6.645750045776367,0.09134959091270156
100,1,16.083874,0.06291557,25.732468,2.815233,3.152769088745117,16.462908,2.1596513,11.658021926879883,19.298770904541016,10.371747970581055,20.086380004882812,8.752254486083984,21.540428161621094,22.67174243927002,0.19440649424922157,10.06066608428955,4.002112855054966
101,1,16.004261,0.08388742,31.406523,3.3405354,4.660412788391113,16.218235,2.7059796,11.324803352355957,20.132984161376953,10.329804420471191,21.237503051757812,8.920029640197754,23.62130355834961,25.315362453460693,0.3495295253150731,6.67371129989624,0.08400624386833859
102,1,16.214685,0.08155722,25.793053,2.853071,3.176072120666504,16.591068,2.1824744,11.676663398742676,19.457223892211914,10.402040481567383,20.254154205322266,8.775556564331055,21.698883056640625,22.874473094940186,0.21070274628489952,10.17018461227417,4.228154732471061
103,1,15.960018,0.046604127,29.838293,3.344078,4.72332763671875,16.18328,2.7207918,11.280529022216797,20.077058792114258,10.278539657592773,21.10235023498535,8.864104270935059,23.553726196289062,25.40740394592285,0.33601029478349975,6.514093399047852,0.08300963547251944
104,1,16.096098,0.09320825,25.329344,2.7996302,3.129467010498047,16.472229,2.144249,11.699966430664062,19.27779769897461,10.420682907104492,20.09337043762207,8.789538383483887,21.57305145263672,22.629798889160156,0.22937009609713377,10.111930847167969,3.9946142709903425
105,1,15.906035,0.06524578,29.018059,3.295388,4.623128890991211,16.136679,2.6784678,11.289850234985352,19.955886840820312,10.264558792114258,21.01380157470703,8.880415916442871,23.334686279296875,25.154576301574707,0.31396519573674586,6.662060737609863,0.0849950055504916
106,1,16.147675,0.06757598,25.615957,2.851933,3.157428741455078,16.521164,2.1817822,11.625398635864258,19.398967742919922,10.33912467956543,20.22153091430664,8.773226737976074,21.726844787597656,22.75562858581543,0.26035408950540667,10.125913619995117,4.287005133602756
107,1,15.992366,0.0768968,28.684841,3.308893,4.613809585571289,16.225227,2.685523,11.313151359558105,20.053756713867188,10.283201217651367,21.0906982421875,8.898638019561767,23.458187103271484,25.2384672164917,0.30819149971305626,6.783228874206543,0.08638099379844037
108,1,16.198769,0.06990619,25.939856,2.8345912,3.1830615997314453,16.558445,2.172734,11.739580154418945,19.44790267944336,10.45097541809082,20.24017333984375,8.82915210723877,21.661598205566406,22.856993675231934,0.19878583755165752,10.124747276306152,3.951290519246083
109,1,16.036423,0.1095197,29.290695,3.295349,4.648761749267578,16.290472,2.682922,11.418010711669922,20.044435501098633,10.383399963378906,21.05574607849121,8.950322151184082,23.439546585083008,25.34449005126953,0.3973786118558236,6.749443054199219,0.08638665475126601
110,1,16.211214,0.023302063,26.897573,2.81132,3.1271371841430664,16.586409,2.1505623,11.760550498962402,19.419940948486328,10.485929489135742,20.188907623291016,8.892067909240723,21.610334396362305,22.756795406341553,0.2011640907204375,10.248246669769287,4.2184884295895895
